raw_skill,normalized_skill
Vendor Evaluation and Procurement Process,Vendor/Supplier Evaluation
Radar CrossSection (RCS) Signature,RCS (Revision Control System)
ValueSelling,Value Selling
Experience as a cook in a private/hospitality/healthcare setting,Healthcare
Confirming that product pricing information is visible and clear,Product Pricing
Facilitate a safe and secure working environment,Safety/Work Safety
Production machine troubleshooting,Production Machining
Project Estimation,Project Estimates
Brand image creation and maintenance,Brand Marketing (Branding)
Knowledge of Wills & Probate Law,Legal
Auto safety standards compliance,Safety Standards
American Board of Dental Anesthesia,Anesthesiology
Responsive Customer Support,Customer Support/Service
PDN Analysis,Analysis Skills
Microsoft Office and webbased portal usage,Microsoft Office
DEA for full prescriptive ability,United States Drug Enforcement Agency (DEA)
Internal Cost Accounting Policies,Accounting Policies
excellent team player,Team Player
Food Industry HACCP and BRC programs,Food and Beverage Industry
Unlicensed Electrician RE certification,Electricity
Azure AI Engineer Associate,Artificial Intelligence (AI)
M365 troubleshooting,Identify Issues
Azure Blob storage,Microsoft Windows Azure
Inpatient Resource Relationship Building,Patient Care
Audible noise assessment and mitigation,Noise Analysis
IR technology,IR (Infrared)
Financial/Insurance,Insurance
Bachelor's Degree (NonProfit Management Communications Marketing),Nonprofit
Ability to perform simple math calculations,Mathematics
Iowa coaching endorsement,Coaching
Personal financial planning concepts,Financial Planning
Electronic medical record keeping system,Electronic Medical Records
Asset Management Strategy,Asset Management
Cleanroom consumables,Cleanroom
Heavy equipment servicing,Heavy Equipment/Vehicles
Food Safety and Quality Audits,Food Safety
clojure,Clojure
Experience with long sales cycles,Sales Cycle
Valid full UK driving license,Driver's License
Space Science,Space Science
Ability to Push or Pull 100 lbs.,Lift/Move 100 Pounds
SPICE ISO/IEC 15504,SPICE (Simulation Program with Integrated Circuit Emphasis)
Blueprint and construction plan interpretation,Blueprints
Network information & event management systems (ISE Splunk Solarwinds Nagios),Event Management
Overhead door operating systems,Operating Systems
SAP (ERP systems),ERP (Enterprise Resource Planning)
Management of financial transactions,Financial Transactions
Site/Civil Engineer,Civil Engineering
GD&T Concepts,Geometric Dimensioning and Tolerancing
Automotive Manufacturing/Production Experience,Automotive Manufacturing
Sales Organizations,Sales
Clean work areas equipment and utensils,Housekeeping/Cleaning
Financial Analysis for Profit Maximization,Financial Analysis
RTPI accredited town planning degree,Royal Town Planning Institute (RTPI)
BC or BE in Family Medicine,Family Medicine
Child Development in Diverse Cultures,Child Development
System Analysis & Design,Systems Analysis
linux device driver,Device Drivers
Budgetary Variances,Budgeting
Computerized financial management systems,Financial Management
Returns auditing,Auditing
Experience in Market Research,Market Research
24/7 Contact Available,High Availability
Greenway EMR,Electronic Medical Records
Computer Proficiency (Data Base Word Processing),Computer Skills
License in a Related Field (LMHC Licensed Psychologist),Licensed Mental Health Counselor (LMHC)
High QA Software,Quality Assurance Software
Ability to travel to local events,Willing to Travel
Medical Records Update,Medical Records
Power and RF Electronics,Radio Frequency
Encryption Keys,Cryptography
Ability to coach staff,Coaching
Intangible asset accounting,Accounting
Lift up to 50 lbs,Lift/Move 50 Pounds
Virtual Center,VMWare vCenter
PCI OEE and InHouse Calculation Methods,PCI
Software Agent Product Management,Product Management
Residential military instruction,Military
Employee Selection and Training,Staff Training
Inventory/warehouse management software,Warehousing
VOIP phone configuration,VoIP (Voice over IP)
Phone Selling,Telesales
Government Code Section 21221(h),Government
Inventory Cost,Inventory Costs
Medicare & PACE Dashboards,Medicare
No hospital duties,Hospital
IT calculation software,Information Technology Software
Technical and Operational Problem Resolution,Problem Solving Skills
Regulatory/code research,Regulations
Customer Service Operations,Customer Service Operations
Construction Detailing,Construction
QTS Art and Photography Teacher,Photography
Timely Correspondence,Time Management
Alert Logic IDS,Intrusion Detection Systems
OCC retail nondeposit investment products,Retail
NetApp Certified Technical Associate (NCTA),NetApp Storage Systems
Buffet Catering Service Experience,Catering Services
EMC and Electrical Safety Testing,Electricity
E&O (New Product Introductions Phase In/Out Engineering Changes),Product/Service Launch
ARRT (R) registry eligibility,American Registry of Radiologic Technologists (ARRT)
Heavy Equipment Installation Knowledge,Heavy Equipment/Vehicles
Archdiocese for the Military Services,Military
Experience managing budgets including budget projection and tracking expenses,Expense Tracking
QMS LMS manufacturing equipment software knowledge,Manufacturing Equipment
College or Technician Degree in HVAC/Refrigeration,Refrigeration
Nutrition Consults,Nutrition
Business Plan Budgeting,Business Plan
Operating Systems Support,Operating Systems
Salesforce Community Portals,Salesforce.com
Ability to read and understand mechanical and electrical drawings,Electricity
Acquisition Analyst,Analysis Skills
1 year experience with homeless population/street medicine,Homeless Services
Bachelor's in information systems,Information Technology & Information Systems
Application software version upgrades,Software Upgrades
IT Infrastructure Technology,Information Technology & Information Systems
Electrical Standards,Electricity
4th grade math,Mathematics
Ability to Juggle Multiple Priorities,Multitasking
Contentious probate litigation,Probate
Ad hoc analysis pay ranges and/or recommendations provision,Financial Analysis
Basic competency with Microsoft Office Suite,Microsoft Office
custom electronics,Electronics
FastMoving Computing Environment,Computer Systems
Good quality engineering practices,Quality Engineering
Ability to Lift or Move 30 lbs,Lift/Move 30 Pounds
Oracle's OTC,Oracle
Prepackaged Home Delivered Foods,Food Delivery
Emergency Response Scheduling,Emergency Response
music,Music
Solution and enterprise architecture,Enterprise Architecture
Simulation and Modeling,Simulation
Impella ECP,ECP Standards
Accounts Payable transactional processing,Accounts Payable
Patent Specialist,Patents
Time budget,Budgeting
Workforce Health and Safety,Safety/Work Safety
Active Directory Forest Environments,Microsoft Active Directory
Easement descriptions,Easements
Service desk ticket management,Customer Support/Service
Client Service,Customer Support/Service
Commissioning and Testing,Commissioning
Safety System Upgrades,Safety Systems
U.S. and Foreign Patent Laws,Patents
Proficient in Microsoft Packages,Microsoft Product Family
Strong audit and accounting knowledge,Financial Audit
Degree/Higher Diploma in forestry/land management/countryside management/environment management,Environmental Management
5+ Years of HighVolume Manufacturing or Vehicle Assembly Experience,Manufacturing Assembly
Litigation expertise,Litigation
Android/Google Application,Google Apps
English Proficiency (Oral and Written),English Language
Onsite Mentoring,Mentoring
Simulation/stimulation activities,Simulation
Strong knowledge of manufacturing processes lean principles and Six Sigma methodologies,Manufacturing/Industrial Processes
Travel to Dental Practices,Willing to Travel
DNA sequence analysis tools,DNA Sequencing
Peer code review,Code Reviews
Human resource issues,Human Resources
401(k) savings and retirement plan,401k Plan
Immune fluorescent microscopy,Microscopy
Mentor Junior and MidLevel Staff,Mentoring
Beach front company condo,Condominiums
Physical and psychological characteristics of illness,Psychology
Ability to interact with cafeteria customers patients and other hospital personnel,Cafeteria
Soccer Analysis,Soccer
Ability to role model customer service standards,Customer Support/Service
Masters' Degree in Clinical Psychology,Clinical Psychology
GMP Quality Compliance,GMP (Good Manufacturing Practices)
Individual and community development work,Community Development
Instructional Best Practices,Best Practices
Associate degree or High School Diploma,High School Diploma
Consumable supplies inventory management,Inventory Management
Surplus Process Management,Process Management
Strategic test guidance,Test Strategy
Remote Work Environment Establishment,Work From Home
Recreation Therapy Principles,Recreational Therapy
MultiDisciplined Teamwork,Team Player
5 years housekeeping experience,Housekeeping/Cleaning
Health care/healthcare tech sector experience,Healthcare
Cost history analysis,Cost Analysis
Customer support request handling,Customer Support/Service
Agile/SCRUM development methodologies,Scrum Project Management and Software Development
Global brand awareness,Global Branding
Cost Engineering Modeling,Cost Engineering
5 years experience with natural gas engines and compressors,Natural Gas
Blueprint request,Blueprints
Standard operating procedure creation,Standard Operating Procedures (SOP)
1 year of RN experience in acute care or 1 year interventional/procedural experience or 6 months RN acute care of interventional/procedural experience with prior LPN experience and completed competency assessment.,Licensed Practical Nurse/Licensed Vocational Nurse
